worker_id = gw0
2023-03-14 13:44:40.720991.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:44:40.739572.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:44:41.098169   'Sign up' form is opened
2023-03-14 13:44:41.098219   SIGNUP_HEADER =>
2023-03-14 13:44:41.135512   SIGNUP_REF_LOGIN =>
2023-03-14 13:44:41.167569   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:44:41.195465   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:44:41.222099   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:44:41.253639   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:44:46.817905   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:44:46.851222   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:44:47.008101.   'Sign up' form is closed
