worker_id = gw0
2023-03-14 14:08:56.141928.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:08:56.197660.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:08:56.605426   'Sign up' form is opened
2023-03-14 14:08:56.605474   SIGNUP_HEADER =>
2023-03-14 14:08:56.631971   SIGNUP_REF_LOGIN =>
2023-03-14 14:08:56.699596   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:08:56.731256   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:08:56.763747   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:08:56.793582   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:09:02.356909   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:09:02.380900   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:09:02.514093.   'Sign up' form is closed
