worker_id = gw1
2023-03-14 14:03:21.915472.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:03:21.933394.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:03:22.278483   'Sign up' form is opened
2023-03-14 14:03:22.278527   SIGNUP_HEADER =>
2023-03-14 14:03:22.304913   SIGNUP_REF_LOGIN =>
2023-03-14 14:03:22.331826   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:03:22.361724   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:03:22.390266   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:03:22.423400   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:03:27.942336   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:03:27.958617   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:03:28.036224.   'Sign up' form is closed
