worker_id = gw0
2023-03-14 13:52:10.672002.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:52:10.786580.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:52:11.297807   'Sign up' form is opened
2023-03-14 13:52:11.297853   SIGNUP_HEADER =>
2023-03-14 13:52:11.356360   SIGNUP_REF_LOGIN =>
2023-03-14 13:52:11.419132   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:52:11.546416   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:52:11.588903   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:52:11.617907   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:52:17.187765   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:52:17.215932   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:52:17.367476.   'Sign up' form is closed
