worker_id = gw1
2023-03-14 13:28:26.975776.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:28:26.993630.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:28:27.217074   'Sign up' form is opened
2023-03-14 13:28:27.217120   SIGNUP_HEADER =>
2023-03-14 13:28:27.239975   SIGNUP_REF_LOGIN =>
2023-03-14 13:28:27.272041   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:28:27.303099   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:28:27.324488   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:28:27.340971   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:28:32.861038   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:28:32.878999   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:28:32.944566.   'Sign up' form is closed
