worker_id = gw0
2023-03-14 12:29:10.471979.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:29:10.494723.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:29:10.972093   'Sign up' form is opened
2023-03-14 12:29:10.972148   SIGNUP_HEADER =>
2023-03-14 12:29:11.020172   SIGNUP_REF_LOGIN =>
2023-03-14 12:29:11.098307   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:29:11.183189   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:29:11.259596   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:29:11.310469   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:29:11.343276   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:29:11.652046.   'Sign up' form is closed
