worker_id = gw1
2023-03-14 12:33:50.315408.   VIDEO_BANNER =>
2023-03-14 12:33:50.361014.   => VIDEO_BANNER IS PRESENT
2023-03-14 12:33:51.036189   'Sign up' form is opened
2023-03-14 12:33:51.036247   SIGNUP_HEADER =>
2023-03-14 12:33:51.090395   SIGNUP_REF_LOGIN =>
2023-03-14 12:33:51.164199   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:33:51.206439   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:33:51.233218   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:33:51.284410   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:33:51.323770   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:33:51.526657.   'Sign up' form is closed
