worker_id = gw1
2023-03-14 12:19:56.697170.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 12:19:56.711848.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 12:19:57.240870   'Sign up' form is opened
2023-03-14 12:19:57.240922   SIGNUP_HEADER =>
2023-03-14 12:19:57.267946   SIGNUP_REF_LOGIN =>
2023-03-14 12:19:57.325292   SIGNUP_INPUT_EMAIL =>
2023-03-14 12:19:57.406533   SIGNUP_INPUT_PASSWORD =>
2023-03-14 12:19:57.477984   SIGNUP_SUBMIT_BTN =>
2023-03-14 12:19:57.512569   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 12:19:57.532959   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 12:19:57.704954.   'Sign up' form is closed
