worker_id = gw0
2023-03-14 11:26:21.536697.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:26:21.587085.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:26:22.265454   'Sign up' form is opened
2023-03-14 11:26:22.265512   SIGNUP_HEADER =>
2023-03-14 11:26:22.364764   SIGNUP_REF_LOGIN =>
2023-03-14 11:26:22.462171   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:26:22.517595   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:26:22.571929   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:26:22.602470   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:26:22.623935   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:26:22.893045.   'Sign up' form is closed
