worker_id = gw1
2023-03-14 11:03:21.495927.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:03:21.510392.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:03:22.256392   'Sign up' form is opened
2023-03-14 11:03:22.256459   SIGNUP_HEADER =>
2023-03-14 11:03:22.281625   SIGNUP_REF_LOGIN =>
2023-03-14 11:03:22.304883   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:03:22.387575   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:03:22.423587   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:03:22.441995   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:03:22.472301   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:03:22.621084.   'Sign up' form is closed
