worker_id = gw0
2023-03-14 11:23:52.841109.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:23:52.869110.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:23:53.672378   'Sign up' form is opened
2023-03-14 11:23:53.672438   SIGNUP_HEADER =>
2023-03-14 11:23:53.702140   SIGNUP_REF_LOGIN =>
2023-03-14 11:23:53.732559   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:23:53.790539   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:23:53.819680   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:23:53.872699   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:23:53.931012   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:23:54.229411.   'Sign up' form is closed
