worker_id = gw1
2023-03-14 10:53:06.421050.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 10:53:06.468231.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 10:53:06.725571   'Sign up' form is opened
2023-03-14 10:53:06.725628   SIGNUP_HEADER =>
2023-03-14 10:53:06.755234   SIGNUP_REF_LOGIN =>
2023-03-14 10:53:06.788478   SIGNUP_INPUT_EMAIL =>
2023-03-14 10:53:06.814147   SIGNUP_INPUT_PASSWORD =>
2023-03-14 10:53:06.840992   SIGNUP_SUBMIT_BTN =>
2023-03-14 10:53:06.863309   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 10:53:06.880460   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 10:53:06.999792.   'Sign up' form is closed
