worker_id = gw1
2023-03-14 11:05:39.652768.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:05:39.668656.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:05:40.414372   'Sign up' form is opened
2023-03-14 11:05:40.414421   SIGNUP_HEADER =>
2023-03-14 11:05:40.482986   SIGNUP_REF_LOGIN =>
2023-03-14 11:05:40.523391   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:05:40.564769   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:05:40.592826   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:05:40.621449   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:05:40.649103   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:05:40.955867.   'Sign up' form is closed
