worker_id = gw0
2023-03-14 11:18:46.578634.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:18:46.592847.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:18:47.044160   'Sign up' form is opened
2023-03-14 11:18:47.044245   SIGNUP_HEADER =>
2023-03-14 11:18:47.131389   SIGNUP_REF_LOGIN =>
2023-03-14 11:18:47.308320   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:18:47.354423   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:18:47.386416   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:18:47.411477   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:18:47.458076   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:18:47.669515.   'Sign up' form is closed
