worker_id = gw0
2023-03-14 11:29:29.968826.   VIDEO_BANNER =>
2023-03-14 11:29:30.092368.   => VIDEO_BANNER IS PRESENT
2023-03-14 11:29:30.907535   'Sign up' form is opened
2023-03-14 11:29:30.907590   SIGNUP_HEADER =>
2023-03-14 11:29:30.979588   SIGNUP_REF_LOGIN =>
2023-03-14 11:29:31.051999   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:29:31.117307   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:29:31.164845   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:29:31.285863   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:29:31.341276   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:29:31.610111.   'Sign up' form is closed
