worker_id = gw1
2023-03-14 11:13:50.198788.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:13:50.243300.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:13:50.975163   'Sign up' form is opened
2023-03-14 11:13:50.975223   SIGNUP_HEADER =>
2023-03-14 11:13:51.053411   SIGNUP_REF_LOGIN =>
2023-03-14 11:13:51.089462   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:13:51.141407   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:13:51.178570   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:13:51.282830   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:13:51.368290   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:13:51.592832.   'Sign up' form is closed
