worker_id = gw1
2023-03-14 11:05:17.026276.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 11:05:17.052121.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 11:05:17.564432   'Sign up' form is opened
2023-03-14 11:05:17.564490   SIGNUP_HEADER =>
2023-03-14 11:05:17.640360   SIGNUP_REF_LOGIN =>
2023-03-14 11:05:17.696739   SIGNUP_INPUT_EMAIL =>
2023-03-14 11:05:17.758994   SIGNUP_INPUT_PASSWORD =>
2023-03-14 11:05:17.809859   SIGNUP_SUBMIT_BTN =>
2023-03-14 11:05:17.852325   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 11:05:17.931286   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 11:05:18.122503.   'Sign up' form is closed
